['ncslgr10a-002-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-003-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-004-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-005-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-006-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-007-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-008-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-009-02-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-010-06-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-011-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-012-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-013-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-014-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-015-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-016-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-017-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-018-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-019-09-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-020-08-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-026-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-027-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-028-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-029-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-032-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10b-002-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10b-003-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10b-004-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10b-008-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10b-022-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10b-023-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10b-038-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10b-040-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
